Watering	R401	Weight
H2O	None	24.8
H2O	None	61.4
H2O	None	59.6
H2O	None	44.5
H2O	None	71.2
H2O	None	67.9
H2O	None	46.7
H2O	None	26.3
H2O	None	57.3
H2O	None	37.5
H2O	None	48.9
H2O	None	40.4
H2O	None	60.7
H2O	None	44.8
H2O	None	64.4
H2O	None	51.7
H2O	WT	54.4
H2O	WT	36.4
H2O	WT	43.4
H2O	WT	3.3
H2O	WT	35.8
H2O	WT	68.5
H2O	WT	24.7
H2O	WT	59.2
H2O	WT	79.9
H2O	WT	56
H2O	WT	42.7
H2O	WT	7.3
H2O	WT	46.4
H2O	WT	24.7
H2O	WT	66.7
H2O	WT	58.9
NaCl	None	30.8
NaCl	None	20
NaCl	None	5.6
NaCl	None	5.8
NaCl	None	34.6
NaCl	None	23.7
NaCl	None	4.1
NaCl	None	7.5
NaCl	None	37.6
NaCl	None	46.5
NaCl	None	17.5
NaCl	None	8.8
NaCl	None	5.9
NaCl	None	4.8
NaCl	None	27.1
NaCl	None	10.8
NaCl	WT	11.4
NaCl	WT	4.5
NaCl	WT	18.2
NaCl	WT	0
NaCl	WT	19.3
NaCl	WT	2.1
NaCl	WT	3.6
NaCl	WT	0
NaCl	WT	18.6
NaCl	WT	23.5
NaCl	WT	7.3
NaCl	WT	0
NaCl	WT	8.3
NaCl	WT	1.1
NaCl	WT	0
NaCl	WT	0
