Cycle	Time [s]	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11
1	0	0.0823	0.079499997	0.081100002	0.0801	0.082900003	0.081699997	0.083899997	0.081900001	0.082199998	0.081100002	0.082699999	0.082699999	0.084299996	0.083099999	0.083400004	0.086599998	0.081600003	0.084399998	0.081600003	0.082599998	0.084600002	0.0832	0.084799998	0.084299996	0.085199997	0.084299996	0.087800004	0.085500002	0.0889	0.0845	0.083700001	0.087300003	0.0858	0.086999997	0.088299997	0.088200003	0.0854	0.087399997	0.083099999	0.085199997	0.0845	0.085600004	0.085199997	0.084600002	0.086300001	0.0858	0.085699998	0.083899997	0.090599999	0.0867	0.085600004	0.085199997	0.085100003	0.0867	0.083300002	0.086199999	0.084700003	0.083999999	0.084100001	0.086599998
2	605.1	0.083499998	0.081900001	0.0836	0.0832	0.085600004	0.082400002	0.085900001	0.084799998	0.085900001	0.085199997	0.083899997	0.083800003	0.086499996	0.0845	0.085699998	0.0876	0.082099997	0.085600004	0.085299999	0.086400002	0.086499996	0.084200002	0.085500002	0.086400002	0.087700002	0.087499999	0.087700002	0.0858	0.089199997	0.086800002	0.085199997	0.088	0.085199997	0.087200001	0.092399999	0.095200002	0.087800004	0.087800004	0.0836	0.087099999	0.086000003	0.086900003	0.086000003	0.085600004	0.0858	0.089900002	0.0876	0.0854	0.089100003	0.087899998	0.086300001	0.086800002	0.086099997	0.086999997	0.0836	0.090599999	0.089900002	0.086000003	0.086000003	0.087700002
3	1209.6	0.0845	0.082599998	0.084200002	0.084399998	0.086400002	0.082500003	0.086099997	0.085199997	0.085900001	0.085000001	0.083400004	0.083099999	0.086900003	0.085100003	0.087399997	0.0876	0.081699997	0.0858	0.086000003	0.085699998	0.086199999	0.083700001	0.084600002	0.085900001	0.089699998	0.086400002	0.086900003	0.084399998	0.088500001	0.086000003	0.084299996	0.0867	0.084600002	0.086800002	0.090300001	0.0911	0.086099997	0.087200001	0.082400002	0.085000001	0.0854	0.086400002	0.085199997	0.085000001	0.085600004	0.090999998	0.087399997	0.085000001	0.089000002	0.0867	0.084600002	0.085600004	0.084899999	0.086300001	0.082599998	0.088399999	0.087099999	0.0854	0.085000001	0.086099997
4	1814.3	0.0836	0.082199998	0.083899997	0.083499998	0.085699998	0.081699997	0.0854	0.084600002	0.084799998	0.084600002	0.082500003	0.081900001	0.086000003	0.084299996	0.087300003	0.086599998	0.081200004	0.084600002	0.084600002	0.085000001	0.084299996	0.082999997	0.0836	0.085100003	0.086999997	0.0858	0.086300001	0.083800003	0.0876	0.088	0.083300002	0.0858	0.083499998	0.085900001	0.090999998	0.090400003	0.085500002	0.086499996	0.082000002	0.0845	0.0845	0.085100003	0.084399998	0.083999999	0.085000001	0.087399997	0.086000003	0.083999999	0.089000002	0.085000001	0.084200002	0.083700001	0.082900003	0.084399998	0.081200004	0.086300001	0.086099997	0.084100001	0.083499998	0.085000001
5	2418.9	0.082699999	0.081600003	0.082999997	0.082599998	0.0845	0.081299998	0.084899999	0.0845	0.085299999	0.0845	0.0823	0.081799999	0.0858	0.083999999	0.0867	0.086499996	0.081200004	0.083899997	0.083999999	0.085199997	0.083899997	0.082599998	0.083400004	0.085199997	0.085900001	0.0858	0.085500002	0.083400004	0.086400002	0.0854	0.0823	0.084899999	0.082800001	0.084700003	0.090700001	0.089199997	0.084299996	0.088399999	0.081200004	0.083499998	0.083400004	0.084200002	0.0836	0.082999997	0.083300002	0.087399997	0.085299999	0.0832	0.088	0.084899999	0.085000001	0.084399998	0.083800003	0.085100003	0.082099997	0.083999999	0.084600002	0.0845	0.083800003	0.084799998
6	3023.5	0.0832	0.082099997	0.083800003	0.083099999	0.086300001	0.081600003	0.085100003	0.084299996	0.0858	0.085000001	0.0823	0.081500001	0.085500002	0.083899997	0.084700003	0.086999997	0.081200004	0.083800003	0.0858	0.085000001	0.083700001	0.082699999	0.083499998	0.084899999	0.086300001	0.086099997	0.086499996	0.0832	0.0876	0.086400002	0.082199998	0.085299999	0.082699999	0.0845	0.0911	0.0898	0.084799998	0.085900001	0.081500001	0.083300002	0.0836	0.084700003	0.084299996	0.083499998	0.085900001	0.085699998	0.085900001	0.082999997	0.089599997	0.084200002	0.083899997	0.0836	0.082800001	0.084299996	0.081500001	0.084799998	0.084399998	0.083400004	0.083700001	0.084799998
7	3628.1	0.0836	0.082500003	0.084299996	0.083400004	0.086400002	0.082500003	0.086300001	0.0858	0.086900003	0.088200003	0.084399998	0.0836	0.0876	0.085900001	0.088299997	0.088500001	0.082800001	0.0854	0.085900001	0.088699996	0.0858	0.084700003	0.085500002	0.087099999	0.088799998	0.0889	0.088399999	0.085199997	0.088500001	0.089299999	0.084799998	0.087800004	0.085500002	0.086999997	0.094300002	0.092100002	0.0876	0.088299997	0.084100001	0.086400002	0.086099997	0.0867	0.086199999	0.085900001	0.085699998	0.089000002	0.087700002	0.085900001	0.088299997	0.0867	0.086300001	0.086000003	0.085699998	0.087399997	0.083999999	0.0858	0.088	0.086999997	0.085900001	0.087800004
8	4232.7	0.084700003	0.083400004	0.084799998	0.084200002	0.086800002	0.081600003	0.084899999	0.084899999	0.086099997	0.085000001	0.082599998	0.0823	0.086999997	0.084799998	0.0858	0.086800002	0.081	0.0836	0.084899999	0.085500002	0.084600002	0.082900003	0.083400004	0.085199997	0.086900003	0.085699998	0.086199999	0.082500003	0.086599998	0.086000003	0.0832	0.087099999	0.083300002	0.085500002	0.093800001	0.090400003	0.085199997	0.086599998	0.082099997	0.084100001	0.083800003	0.085100003	0.085000001	0.084299996	0.084100001	0.088100001	0.086300001	0.083999999	0.088	0.084799998	0.084700003	0.084299996	0.083800003	0.085600004	0.082199998	0.084100001	0.085699998	0.084899999	0.084100001	0.086199999
9	4837.4	0.084200002	0.083099999	0.085000001	0.083899997	0.088399999	0.082000002	0.085500002	0.085600004	0.086400002	0.085600004	0.082900003	0.082599998	0.086499996	0.084899999	0.086599998	0.0876	0.081699997	0.084100001	0.085600004	0.0858	0.085699998	0.083099999	0.083499998	0.085600004	0.087700002	0.085100003	0.086099997	0.082999997	0.086300001	0.0854	0.0823	0.085900001	0.083300002	0.085000001	0.093000002	0.090999998	0.0845	0.086199999	0.082099997	0.0836	0.0836	0.083999999	0.083999999	0.0836	0.083300002	0.086900003	0.085900001	0.082999997	0.086400002	0.084200002	0.0836	0.083499998	0.082800001	0.084899999	0.081600003	0.083099999	0.084799998	0.084399998	0.083499998	0.084799998
10	5442	0.082900003	0.082000002	0.0836	0.082599998	0.085600004	0.082000002	0.085199997	0.085000001	0.086800002	0.085000001	0.082500003	0.081500001	0.085900001	0.084299996	0.086099997	0.087899998	0.081699997	0.083899997	0.0845	0.085900001	0.084100001	0.082900003	0.083400004	0.085600004	0.087499999	0.085500002	0.086300001	0.082999997	0.0854	0.0854	0.082500003	0.086000003	0.083300002	0.084200002	0.093000002	0.090599999	0.083899997	0.086000003	0.081799999	0.083800003	0.083400004	0.084100001	0.084399998	0.083099999	0.082500003	0.087300003	0.085299999	0.082099997	0.086000003	0.083300002	0.084399998	0.082999997	0.082400002	0.0845	0.0814	0.082500003	0.0836	0.083800003	0.082599998	0.084100001
