Col	Row	Condition
1	A	X
2	A	X
3	A	X
4	A	X
5	A	X
6	A	X
7	A	X
8	A	X
9	A	X
10	A	X
11	A	X
12	A	X
1	B	X
2	B	ARE_none
3	B	NaCl_sypc
4	B	NaCl_WT
5	B	NaCl_none
6	B	ARE_sypc
7	B	ARE_WT
8	B	ARE_none
9	B	NaCl_sypc
10	B	NaCl_WT
11	B	NaCl_none
12	B	X
1	C	X
2	C	ARE_WT
3	C	ARE_none
4	C	NaCl_sypc
5	C	NaCl_WT
6	C	NaCl_none
7	C	ARE_sypc
8	C	ARE_WT
9	C	ARE_none
10	C	NaCl_sypc
11	C	NaCl_WT
12	C	X
1	D	X
2	D	ARE_sypc
3	D	ARE_WT
4	D	ARE_none
5	D	NaCl_sypc
6	D	NaCl_WT
7	D	NaCl_none
8	D	ARE_sypc
9	D	ARE_WT
10	D	ARE_none
11	D	NaCl_sypc
12	D	X
1	E	X
2	E	NaCl_none
3	E	ARE_sypc
4	E	ARE_WT
5	E	ARE_none
6	E	NaCl_sypc
7	E	NaCl_WT
8	E	NaCl_none
9	E	ARE_sypc
10	E	ARE_WT
11	E	ARE_none
12	E	X
1	F	X
2	F	NaCl_WT
3	F	NaCl_none
4	F	ARE_sypc
5	F	ARE_WT
6	F	ARE_none
7	F	NaCl_sypc
8	F	NaCl_WT
9	F	NaCl_none
10	F	ARE_sypc
11	F	ARE_WT
12	F	X
1	G	X
2	G	NaCl_sypc
3	G	NaCl_WT
4	G	NaCl_none
5	G	ARE_sypc
6	G	ARE_WT
7	G	ARE_none
8	G	NaCl_sypc
9	G	NaCl_WT
10	G	NaCl_none
11	G	ARE_sypc
12	G	X
1	H	X
2	H	X
3	H	X
4	H	X
5	H	X
6	H	X
7	H	X
8	H	X
9	H	X
10	H	X
11	H	X
12	H	X
