Condition	Molecule	Salt	SFW_mg
O_cntrl	O	cntrl	12.8
O_cntrl	O	cntrl	16.8
O_cntrl	O	cntrl	8.6
O_cntrl	O	cntrl	26
O_cntrl	O	cntrl	1.7
O_cntrl	O	cntrl	4.9
O_cntrl	O	cntrl	1.8
O_cntrl	O	cntrl	2.2
O_cntrl	O	cntrl	3.8
O_cntrl	O	cntrl	4
O_cntrl	O	cntrl	1.8
O_cntrl	O	cntrl	
O_cntrl	O	cntrl	
O_cntrl	O	cntrl	
O_cntrl	O	cntrl	
O_cntrl	O	cntrl	
O_cntrl	O	cntrl	
O_cntrl	O	cntrl	
O_cntrl	O	cntrl	5.3
O_cntrl	O	cntrl	1.1
O_cntrl	O	cntrl	6.4
O_cntrl	O	cntrl	4
O_cntrl	O	cntrl	3.6
O_cntrl	O	cntrl	6.6
O_cntrl	O	cntrl	5.5
O_cntrl	O	cntrl	7.9
O_cntrl	O	cntrl	7.4
O_cntrl	O	cntrl	4.8
O_cntrl	O	cntrl	5.8
O_cntrl	O	cntrl	2
O_cntrl	O	cntrl	
O_cntrl	O	cntrl	
O_cntrl	O	cntrl	
O_cntrl	O	cntrl	
O_cntrl	O	cntrl	
O_cntrl	O	cntrl	
O_cntrl	O	cntrl	12.2
O_cntrl	O	cntrl	12.3
O_cntrl	O	cntrl	2.8
O_cntrl	O	cntrl	5.2
O_cntrl	O	cntrl	8.9
O_cntrl	O	cntrl	13.5
O_cntrl	O	cntrl	12.8
O_cntrl	O	cntrl	1.8
O_cntrl	O	cntrl	6.2
O_cntrl	O	cntrl	11.4
O_cntrl	O	cntrl	1.9
O_cntrl	O	cntrl	5.4
O_cntrl	O	cntrl	
O_cntrl	O	cntrl	
O_cntrl	O	cntrl	
O_cntrl	O	cntrl	
O_cntrl	O	cntrl	
O_cntrl	O	cntrl	
O_cntrl	O	cntrl	10.4
O_cntrl	O	cntrl	5.8
O_cntrl	O	cntrl	11.7
O_cntrl	O	cntrl	10.8
O_cntrl	O	cntrl	7.7
O_cntrl	O	cntrl	5.8
O_cntrl	O	cntrl	4
O_cntrl	O	cntrl	4.3
O_cntrl	O	cntrl	4.3
O_cntrl	O	cntrl	1.8
O_cntrl	O	cntrl	6
O_cntrl	O	cntrl	5.9
O_cntrl	O	cntrl	
O_cntrl	O	cntrl	
O_cntrl	O	cntrl	
O_cntrl	O	cntrl	
O_cntrl	O	cntrl	
O_cntrl	O	cntrl	
O_cntrl	O	cntrl	13.1
O_cntrl	O	cntrl	11.3
O_cntrl	O	cntrl	8.7
O_cntrl	O	cntrl	12.8
O_cntrl	O	cntrl	12.1
O_cntrl	O	cntrl	3.7
O_cntrl	O	cntrl	9
O_cntrl	O	cntrl	5.6
O_cntrl	O	cntrl	4.1
O_cntrl	O	cntrl	11.5
O_cntrl	O	cntrl	4.7
O_cntrl	O	cntrl	6.5
O_cntrl	O	cntrl	
O_cntrl	O	cntrl	
O_cntrl	O	cntrl	
O_cntrl	O	cntrl	
O_cntrl	O	cntrl	
O_cntrl	O	cntrl	
O_cntrl	O	cntrl	3.8
O_cntrl	O	cntrl	5.8
O_cntrl	O	cntrl	8.3
O_cntrl	O	cntrl	9.9
O_cntrl	O	cntrl	10.9
O_cntrl	O	cntrl	20.7
O_cntrl	O	cntrl	20
O_cntrl	O	cntrl	15.4
O_cntrl	O	cntrl	4.2
O_cntrl	O	cntrl	5.3
O_cntrl	O	cntrl	5.7
O_cntrl	O	cntrl	
O_cntrl	O	cntrl	
O_cntrl	O	cntrl	
O_cntrl	O	cntrl	
O_cntrl	O	cntrl	
O_100	O	100	11.4
O_100	O	100	18.4
O_100	O	100	6.4
O_100	O	100	4.4
O_100	O	100	0.9
O_100	O	100	1.2
O_100	O	100	4
O_100	O	100	7.5
O_100	O	100	4.7
O_100	O	100	1.3
O_100	O	100	1.5
O_100	O	100	0.1
O_100	O	100	
O_100	O	100	
O_100	O	100	
O_100	O	100	
O_100	O	100	
O_100	O	100	
O_100	O	100	8.2
O_100	O	100	7.1
O_100	O	100	9.2
O_100	O	100	5.6
O_100	O	100	5.5
O_100	O	100	5.3
O_100	O	100	5.1
O_100	O	100	8.3
O_100	O	100	3.9
O_100	O	100	1.9
O_100	O	100	6
O_100	O	100	1
O_100	O	100	
O_100	O	100	
O_100	O	100	
O_100	O	100	
O_100	O	100	
O_100	O	100	
O_100	O	100	8.8
O_100	O	100	4.4
O_100	O	100	5
O_100	O	100	12.1
O_100	O	100	2.3
O_100	O	100	9.7
O_100	O	100	11.4
O_100	O	100	13.5
O_100	O	100	9.7
O_100	O	100	1.6
O_100	O	100	2.2
O_100	O	100	3.7
O_100	O	100	
O_100	O	100	
O_100	O	100	
O_100	O	100	
O_100	O	100	
O_100	O	100	
O_100	O	100	3.6
O_100	O	100	13.1
O_100	O	100	11.8
O_100	O	100	7.5
O_100	O	100	4.8
O_100	O	100	7.2
O_100	O	100	6.8
O_100	O	100	9.6
O_100	O	100	3
O_100	O	100	6.2
O_100	O	100	4.1
O_100	O	100	
O_100	O	100	
O_100	O	100	
O_100	O	100	
O_100	O	100	
O_100	O	100	
O_100	O	100	
O_100	O	100	9.5
O_100	O	100	5.4
O_100	O	100	10.2
O_100	O	100	10.1
O_100	O	100	13.2
O_100	O	100	8.4
O_100	O	100	6.8
O_100	O	100	3.6
O_100	O	100	5.4
O_100	O	100	1.2
O_100	O	100	1
O_100	O	100	0.1
O_100	O	100	
O_100	O	100	
O_100	O	100	
O_100	O	100	
O_100	O	100	
O_100	O	100	
O_100	O	100	15.9
O_100	O	100	17.7
O_100	O	100	12
O_100	O	100	3.2
O_100	O	100	3.3
O_100	O	100	4.8
O_100	O	100	7.8
O_100	O	100	5.6
O_100	O	100	5.6
O_100	O	100	3.5
O_100	O	100	0.1
O_100	O	100	0
O_100	O	100	
O_100	O	100	
O_100	O	100	
O_100	O	100	
A_cntrl	A	cntrl	3.7
A_cntrl	A	cntrl	5.8
A_cntrl	A	cntrl	6.9
A_cntrl	A	cntrl	4.7
A_cntrl	A	cntrl	0.4
A_cntrl	A	cntrl	5.2
A_cntrl	A	cntrl	4
A_cntrl	A	cntrl	1.2
A_cntrl	A	cntrl	0.4
A_cntrl	A	cntrl	5.8
A_cntrl	A	cntrl	
A_cntrl	A	cntrl	
A_cntrl	A	cntrl	
A_cntrl	A	cntrl	
A_cntrl	A	cntrl	
A_cntrl	A	cntrl	
A_cntrl	A	cntrl	
A_cntrl	A	cntrl	
A_cntrl	A	cntrl	5.4
A_cntrl	A	cntrl	7.2
A_cntrl	A	cntrl	3.8
A_cntrl	A	cntrl	9.4
A_cntrl	A	cntrl	8.4
A_cntrl	A	cntrl	3.5
A_cntrl	A	cntrl	2.1
A_cntrl	A	cntrl	0.8
A_cntrl	A	cntrl	3.3
A_cntrl	A	cntrl	0
A_cntrl	A	cntrl	0.1
A_cntrl	A	cntrl	0.1
A_cntrl	A	cntrl	
A_cntrl	A	cntrl	
A_cntrl	A	cntrl	
A_cntrl	A	cntrl	
A_cntrl	A	cntrl	
A_cntrl	A	cntrl	
A_cntrl	A	cntrl	1.8
A_cntrl	A	cntrl	3.1
A_cntrl	A	cntrl	10.5
A_cntrl	A	cntrl	8
A_cntrl	A	cntrl	5.7
A_cntrl	A	cntrl	5.8
A_cntrl	A	cntrl	0.1
A_cntrl	A	cntrl	4.6
A_cntrl	A	cntrl	2.7
A_cntrl	A	cntrl	7
A_cntrl	A	cntrl	2.8
A_cntrl	A	cntrl	0.1
A_cntrl	A	cntrl	
A_cntrl	A	cntrl	
A_cntrl	A	cntrl	
A_cntrl	A	cntrl	
A_cntrl	A	cntrl	
A_cntrl	A	cntrl	
A_cntrl	A	cntrl	5.3
A_cntrl	A	cntrl	7.2
A_cntrl	A	cntrl	9.4
A_cntrl	A	cntrl	5.3
A_cntrl	A	cntrl	3.6
A_cntrl	A	cntrl	2
A_cntrl	A	cntrl	2.1
A_cntrl	A	cntrl	2.4
A_cntrl	A	cntrl	4.8
A_cntrl	A	cntrl	0.5
A_cntrl	A	cntrl	0.1
A_cntrl	A	cntrl	
A_cntrl	A	cntrl	
A_cntrl	A	cntrl	
A_cntrl	A	cntrl	
A_cntrl	A	cntrl	
A_cntrl	A	cntrl	
A_cntrl	A	cntrl	
A_cntrl	A	cntrl	4.8
A_cntrl	A	cntrl	7
A_cntrl	A	cntrl	0
A_cntrl	A	cntrl	7.6
A_cntrl	A	cntrl	1.7
A_cntrl	A	cntrl	2.1
A_cntrl	A	cntrl	8.3
A_cntrl	A	cntrl	3.6
A_cntrl	A	cntrl	4.4
A_cntrl	A	cntrl	0.1
