Condition	Molecule	Salt	Root_length
O_cntrl	O	cntrl	24.973
O_cntrl	O	cntrl	75.959
O_cntrl	O	cntrl	49.506
O_cntrl	O	cntrl	29.832
O_cntrl	O	cntrl	52.325
O_cntrl	O	cntrl	48.32
O_cntrl	O	cntrl	86.825
O_cntrl	O	cntrl	87.12
O_cntrl	O	cntrl	49.684
O_cntrl	O	cntrl	76.193
O_cntrl	O	cntrl	26.467
O_cntrl	O	cntrl	71.075
O_cntrl	O	cntrl	
O_cntrl	O	cntrl	
O_cntrl	O	cntrl	
O_cntrl	O	cntrl	
O_cntrl	O	cntrl	
O_cntrl	O	cntrl	
O_cntrl	O	cntrl	27.967
O_cntrl	O	cntrl	46.271
O_cntrl	O	cntrl	48.702
O_cntrl	O	cntrl	47.63
O_cntrl	O	cntrl	37.458
O_cntrl	O	cntrl	48.436
O_cntrl	O	cntrl	41.637
O_cntrl	O	cntrl	51.207
O_cntrl	O	cntrl	49.859
O_cntrl	O	cntrl	51.584
O_cntrl	O	cntrl	50.949
O_cntrl	O	cntrl	52.034
O_cntrl	O	cntrl	
O_cntrl	O	cntrl	
O_cntrl	O	cntrl	
O_cntrl	O	cntrl	
O_cntrl	O	cntrl	
O_cntrl	O	cntrl	
O_cntrl	O	cntrl	66.874
O_cntrl	O	cntrl	54.407
O_cntrl	O	cntrl	54.772
O_cntrl	O	cntrl	57.294
O_cntrl	O	cntrl	56.506
O_cntrl	O	cntrl	54.25
O_cntrl	O	cntrl	61.696
O_cntrl	O	cntrl	79.707
O_cntrl	O	cntrl	73.484
O_cntrl	O	cntrl	82.612
O_cntrl	O	cntrl	60.686
O_cntrl	O	cntrl	47.664
O_cntrl	O	cntrl	
O_cntrl	O	cntrl	
O_cntrl	O	cntrl	
O_cntrl	O	cntrl	
O_cntrl	O	cntrl	
O_cntrl	O	cntrl	
O_cntrl	O	cntrl	32.475
O_cntrl	O	cntrl	42.882
O_cntrl	O	cntrl	44.865
O_cntrl	O	cntrl	34.244
O_cntrl	O	cntrl	42.101
O_cntrl	O	cntrl	32.215
O_cntrl	O	cntrl	41.526
O_cntrl	O	cntrl	40.169
O_cntrl	O	cntrl	41.424
O_cntrl	O	cntrl	44.585
O_cntrl	O	cntrl	45.166
O_cntrl	O	cntrl	45.422
O_cntrl	O	cntrl	
O_cntrl	O	cntrl	
O_cntrl	O	cntrl	
O_cntrl	O	cntrl	
O_cntrl	O	cntrl	
O_cntrl	O	cntrl	
O_cntrl	O	cntrl	75.642
O_cntrl	O	cntrl	50.211
O_cntrl	O	cntrl	24.184
O_cntrl	O	cntrl	52.395
O_cntrl	O	cntrl	45.985
O_cntrl	O	cntrl	29.33
O_cntrl	O	cntrl	57.372
