Treatment	Bacterium	Plant	Rep	label 	S1	S2	S3	S4	S5
NaCl	R401_WT	Col-0	1	_2A_s	1.9	1.2	0.5	0.5	
NaCl	R401_WT	Col-0	1	_2B_s	0.8	0.7	0.2		
NaCl	R401_WT	Col-0	1	_2C_s	1.6	0.6	0.8		
NaCl	R401_WT	Col-0	1	_2D_s	2.1	0.5	0.4		
NaCl	R401_WT	Col-0	1	_2E_s	5.8	1			
NaCl	R401_WT	Col-0	1	_2F_s	0.6	0.5	0.4		
cntrl	R131_WT	Col-0	1	_4A_s	12.2				
cntrl	R131_WT	Col-0	1	_4B_s	6.9	31.3	46.2	13.1	
cntrl	R131_WT	Col-0	1	_4C_s	16.5	27.5	18.4		
cntrl	R131_WT	Col-0	1	_4D_s	16.1	20.5	5.6		
cntrl	R131_WT	Col-0	1	_4E_s	19.8	9.3	1.9		
cntrl	R131_WT	Col-0	1	_4F_s	19.8	2.1	2.2		
NaCl	R131_WT	Col-0	1	_5A_s	18.9	22.4	13	13.9	
NaCl	R131_WT	Col-0	1	_5B_s	16.7	6.2	14.5	3.7	
NaCl	R131_WT	Col-0	1	_5C_s	8.3	12.7	17.7		
NaCl	R131_WT	Col-0	1	_5D_s	27.1	17.3	9.7		
NaCl	R131_WT	Col-0	1	_5E_s	9.3	4.4	9.3	10.6	
NaCl	R131_WT	Col-0	1	_5F_s	7.2	7.5	4.4		
cntrl	R401_WT	Col-0	1	_6A_s	4.3	3.2	6.6	0.6	
cntrl	R401_WT	Col-0	1	_6B_s	36.9	45.2	49.1	40.5	
cntrl	R401_WT	Col-0	1	_6C_s	11.9	3.1	1.1		
cntrl	R401_WT	Col-0	1	_6D_s	33.8	17.9	0.07		
cntrl	R401_WT	Col-0	1	_6E_s	3.3	2.6	6.4		
cntrl	R401_WT	Col-0	1	_6F_s	50.8	67.2	51.6	32.8	
cntrl	R107_WT	Col-0	1	_7A_s	8.4	3.8	2.4		
cntrl	R107_WT	Col-0	1	_7B_s	6.2	5.8	1.7		
cntrl	R107_WT	Col-0	1	_7C_s	16.8	7.9	12.4	5.9	
cntrl	R107_WT	Col-0	1	_7D_s	0.2	1.4	1.3	0.8	1.1
cntrl	R107_WT	Col-0	1	_7E_s	4.6	3.8			
cntrl	R107_WT	Col-0	1	_7F_s	8.1	2.8	2.1	0.7	
NaCl	R107_WT	Col-0	1	_8A_s	2.2	0.2	0.2		
NaCl	R107_WT	Col-0	1	_8B_s	2.3				
