Flowpot	Plant	NaCl	SynCom	R401	Value																						
1	1	0 mM	no SC	HK	15.4																						
1	2	0 mM	no SC	HK	11.3																						
1	3	0 mM	no SC	HK	10																						
1	4	0 mM	no SC	HK	0																						
1	5	0 mM	no SC	HK	0																						
2	1	0 mM	no SC	HK	26.5																						
2	2	0 mM	no SC	HK	14.5																						
2	3	0 mM	no SC	HK	23.6																						
2	4	0 mM	no SC	HK	14.3																						
2	5	0 mM	no SC	HK	0																						
3	1	0 mM	no SC	HK	12.4																						
3	2	0 mM	no SC	HK	5.6																						
3	3	0 mM	no SC	HK	0																						
3	4	0 mM	no SC	HK	0																						
3	5	0 mM	no SC	HK	0																						
4	1	0 mM	no SC	HK	20.3																						
4	2	0 mM	no SC	HK	37.7																						
4	3	0 mM	no SC	HK	27.2																						
4	4	0 mM	no SC	HK	30.3																						
4	5	0 mM	no SC	HK	17.7																						
5	1	0 mM	no SC	HK	29.8																						
5	2	0 mM	no SC	HK	9.2																						
5	3	0 mM	no SC	HK	27.4																						
5	4	0 mM	no SC	HK	23.7																						
5	5	0 mM	no SC	HK	25																						
6	1	0 mM	no SC	HK	8.6																						
6	2	0 mM	no SC	HK	18.1																						
6	3	0 mM	no SC	HK	10.1																						
6	4	0 mM	no SC	HK	5.2																						
6	5	0 mM	no SC	HK	8.7																						
1	1	0 mM	no SC	WT	7																						
1	2	0 mM	no SC	WT	3.2																						
1	3	0 mM	no SC	WT	4.6																						
1	4	0 mM	no SC	WT	13.2																						
1	5	0 mM	no SC	WT	27.6																						
2	1	0 mM	no SC	WT	4.4																						
2	2	0 mM	no SC	WT	8																						
2	3	0 mM	no SC	WT	30.4																						
2	4	0 mM	no SC	WT	30																						
2	5	0 mM	no SC	WT	0																						
3	1	0 mM	no SC	WT	57.6																						
3	2	0 mM	no SC	WT	26.9																						
3	3	0 mM	no SC	WT	17.7																						
3	4	0 mM	no SC	WT	8.5																						
3	5	0 mM	no SC	WT	0																						
4	1	0 mM	no SC	WT	12.2																						
4	2	0 mM	no SC	WT	1.9																						
4	3	0 mM	no SC	WT	23.1																						
4	4	0 mM	no SC	WT	29																						
4	5	0 mM	no SC	WT	24.9																						
5	1	0 mM	no SC	WT	10.9																						
5	2	0 mM	no SC	WT	36.4																						
5	3	0 mM	no SC	WT	31.7																						
5	4	0 mM	no SC	WT	18.2																						
5	5	0 mM	no SC	WT	0																						
6	1	0 mM	no SC	WT	8																						
6	2	0 mM	no SC	WT	24.3																						
6	3	0 mM	no SC	WT	14.3																						
6	4	0 mM	no SC	WT	34.1																						
6	5	0 mM	no SC	WT	25.1																						
1	1	0 mM	no SC	dLP	21																						
1	2	0 mM	no SC	dLP	21.5																						
1	3	0 mM	no SC	dLP	9.9																						
1	4	0 mM	no SC	dLP	37.8																						
1	5	0 mM	no SC	dLP	0																						
2	1	0 mM	no SC	dLP	9.8																						
2	2	0 mM	no SC	dLP	9.4																						
2	3	0 mM	no SC	dLP	8.1																						
