Date	Lawn	Plate	Colony_pos	Position	Measurement	Halo_size_mm
05.07.	R147	1	1	Top_left	1	6.671
05.07.	R147	1	1	Top_left	2	6.195
05.07.	R147	1	1	Top_left	3	5.952
05.07.	R147	1	1	Top_left	4	6.433
05.07.	R147	1	1	Top_left	5	5.481
05.07.	R147	1	2	Top_center	1	5.003
05.07.	R147	1	2	Top_center	2	5.360
05.07.	R147	1	2	Top_center	3	5.228
05.07.	R147	1	2	Top_center	4	5.182
05.07.	R147	1	2	Top_center	5	9.464
05.07.	R147	1	3	Top_right	1	9.643
05.07.	R147	1	3	Top_right	2	7.508
05.07.	R147	1	3	Top_right	3	8.752
05.07.	R147	1	3	Top_right	4	8.968
05.07.	R147	1	3	Top_right	5	9.123
05.07.	R147	1	4	Mid_left	1	5.547
05.07.	R147	1	4	Mid_left	2	5.714
05.07.	R147	1	4	Mid_left	3	5.000
05.07.	R147	1	4	Mid_left	4	5.003
05.07.	R147	1	4	Mid_left	5	4.714
05.07.	R147	1	5	Mid_center	1	x
05.07.	R147	1	5	Mid_center	2	x
05.07.	R147	1	5	Mid_center	3	x
05.07.	R147	1	5	Mid_center	4	x
05.07.	R147	1	5	Mid_center	5	x
05.07.	R147	1	6	Mid_right	1	x
05.07.	R147	1	6	Mid_right	2	x
05.07.	R147	1	6	Mid_right	3	x
05.07.	R147	1	6	Mid_right	4	x
05.07.	R147	1	6	Mid_right	5	x
05.07.	R147	1	7	Bottom_left	1	x
05.07.	R147	1	7	Bottom_left	2	x
05.07.	R147	1	7	Bottom_left	3	x
05.07.	R147	1	7	Bottom_left	4	x
05.07.	R147	1	7	Bottom_left	5	x
05.07.	R147	1	8	Bottom_center	1	x
05.07.	R147	1	8	Bottom_center	2	x
05.07.	R147	1	8	Bottom_center	3	x
05.07.	R147	1	8	Bottom_center	4	x
05.07.	R147	1	8	Bottom_center	5	x
05.07.	R147	1	9	Bottom_right	1	x
05.07.	R147	1	9	Bottom_right	2	x
05.07.	R147	1	9	Bottom_right	3	x
05.07.	R147	1	9	Bottom_right	4	x
05.07.	R147	1	9	Bottom_right	5	x
05.07.	R147	2	1	Top_left	1	6.431
05.07.	R147	2	1	Top_left	2	5.179
05.07.	R147	2	1	Top_left	3	5.003
05.07.	R147	2	1	Top_left	4	5.000
05.07.	R147	2	1	Top_left	5	4.962
05.07.	R147	2	2	Top_center	1	5.000
05.07.	R147	2	2	Top_center	2	5.357
05.07.	R147	2	2	Top_center	3	5.057
05.07.	R147	2	2	Top_center	4	5.360
05.07.	R147	2	2	Top_center	5	5.360
05.07.	R147	2	3	Top_right	1	6.788
05.07.	R147	2	3	Top_right	2	6.786
05.07.	R147	2	3	Top_right	3	6.074
05.07.	R147	2	3	Top_right	4	6.253
05.07.	R147	2	3	Top_right	5	6.074
05.07.	R147	2	4	Mid_left	1	5.360
05.07.	R147	2	4	Mid_left	2	4.643
05.07.	R147	2	4	Mid_left	3	4.657
05.07.	R147	2	4	Mid_left	4	4.646
05.07.	R147	2	4	Mid_left	5	4.714
05.07.	R147	2	5	Mid_center	1	x
05.07.	R147	2	5	Mid_center	2	x
05.07.	R147	2	5	Mid_center	3	x
05.07.	R147	2	5	Mid_center	4	x
05.07.	R147	2	5	Mid_center	5	x
05.07.	R147	2	6	Mid_right	1	x
