Rep	Bacterium	SynCom	Treatment	Label 	S1	S2	S3	S4	S5	S6
1	none	F	cntrl	F_1A						
1	none	F	cntrl	F_1B						
1	none	F	cntrl	F_1C						
1	none	F	cntrl	F_1D						
1	none	F	cntrl	F_1E						
1	none	F	cntrl	F_1F						
1	none	F	cntrl	F_1G						
1	none	F	cntrl	F_1H						
1	none	B	cntrl	B_2A	14.9	14.8	11.60			
1	none	B	cntrl	B_2B	10.7	10.2	10.70	4.10	10.60	15.00
1	none	B	cntrl	B_2C	6.9	1.9	9.10	6.90	9.10	6.70
1	none	B	cntrl	B_2D	11.2	6.1	25.20	7.60	9.10	
1	none	B	cntrl	B_2E	18	16.9	5.60	13.80	7.00	
1	none	B	cntrl	B_2F	5.6	16.7	2.80	13.00	12.30	8.10
1	none	B	cntrl	B_2G	29.8	13.2	32.80	18.40	6.60	1.80
1	none	B	cntrl	B_2H	16.5	14.4	5.10	15.40		
1	none	MSC	cntrl	M_3A	0.6	0.3				
1	none	MSC	cntrl	M_3B	0.8	1				
1	none	MSC	cntrl	M_3C	1.2					
1	none	MSC	cntrl	M_3D	0.3	1.1				
1	none	MSC	cntrl	M_3E	0.8	0.3	0.40			
1	none	MSC	cntrl	M_3F						
1	none	MSC	cntrl	M_3G						
1	none	MSC	cntrl	M_3H						
1	none	MSC	low PAR	M_4A	0.5	0.7	0.40	0.70	1.30	
1	none	MSC	low PAR	M_4B		1.1	0.70			
1	none	MSC	low PAR	M_4C		0.2	0.20			
1	none	MSC	low PAR	M_4D	0.9					
1	none	MSC	low PAR	M_4E		0.5	0.80	0.60		
1	none	MSC	low PAR	M_4F	1					
1	none	MSC	low PAR	M_4G						
1	none	MSC	low PAR	M_4H						
1	none	MSC	drought	M_5A						
1	none	MSC	drought	M_5B						
1	none	MSC	drought	M_5C						
1	none	MSC	drought	M_5D						
1	none	MSC	drought	M_5E						
1	none	MSC	drought	M_5F						
1	none	MSC	drought	M_5G						
1	none	MSC	drought	M_5H						
1	none	MSC	NaCl	M_6A						
1	none	MSC	NaCl	M_6B						
1	none	MSC	NaCl	M_6C						
1	none	MSC	NaCl	M_6D						
1	none	MSC	NaCl	M_6E						
1	none	MSC	NaCl	M_6F						
1	none	MSC	NaCl	M_6G						
1	none	MSC	NaCl	M_6H						
1	R401_HK	cntrl	cntrl	HK_1A	12.3	12.2	8.1	10.8	13.8	
1	R401_HK	cntrl	cntrl	HK_1B	9	25.8	12.5	8.4	7.1	
1	R401_HK	cntrl	cntrl	HK_1C		2.4	8.1	2.5		
1	R401_HK	cntrl	cntrl	HK_1D		28.3	22.2	25.5	10.2	14.5
1	R401_HK	cntrl	cntrl	HK_1E	9.7	16.2	19.9	5.9	8.1	
1	R401_HK	cntrl	cntrl	HK_1F	4.9	6	7.1	1.1	1.5	5.6
1	R401_HK	cntrl	NaCl	HK_3A						
1	R401_HK	cntrl	NaCl	HK_3B						
1	R401_HK	cntrl	NaCl	HK_3C						
1	R401_HK	cntrl	NaCl	HK_3D						
1	R401_HK	cntrl	NaCl	HK_3E						
1	R401_HK	cntrl	NaCl	HK_3F						
1	R401_HK	cntrl	low PAR	HK_5A	5.6	1.5	2.5	3.4	3.5	
1	R401_HK	cntrl	low PAR	HK_5B	7.3	4.2	6.5	2.2	2.5	
1	R401_HK	cntrl	low PAR	HK_5C	3.5	6.4	2.7	1		
1	R401_HK	cntrl	low PAR	HK_5D		0.6	5.6	4.9	3.1	3.8
1	R401_HK	cntrl	low PAR	HK_5E	14.4	11.1	11.1	14.5	5.2	3.6
1	R401_HK	cntrl	low PAR	HK_5F	4.1	3.6	6	5.1	2.6	1.3
1	R401_HK	cntrl	drought	HK_8A	1.8	9.1	9.6	6.3	9.3	9.2
1	R401_HK	cntrl	drought	HK_8B	0.3	7.2	0.6	5.1	3.7	
1	R401_HK	cntrl	drought	HK_8C	0.5		4.2		0.6	
1	R401_HK	cntrl	drought	HK_8D	11	12.6	13.8	8.6	7.2	
1	R401_HK	cntrl	drought	HK_8E	5.7	4.1	8.1	16.4	15.4	
1	R401_HK	cntrl	drought	HK_8F	0.7	3.4	12.4	14.3	7.3	
1	R401_WT	cntrl	cntrl	WT_2A_s	18.4					
1	R401_WT	cntrl	cntrl	WT_2B_s	2.9	15.3	6.5	3.1	0.6	
1	R401_WT	cntrl	cntrl	WT_2C_s	27.4	9.5	1.6			
1	R401_WT	cntrl	cntrl	WT_2D_s	6.6	4.8				
1	R401_WT	cntrl	cntrl	WT_2E_s	21.9	11.7	3.4	5.1		
