Experiment	Bacterium	Treatment	Label	Rep	Plant	FW
I	R401_HK	cntrl	1A	2	Col-0	15.175
I	R401_HK	cntrl	1B	2	Col-0	4.54
I	R401_HK	cntrl	1C	2	Col-0	2.4
I	R401_HK	cntrl	1D	2	Col-0	5.425
I	R401_HK	cntrl	1E	2	Col-0	4.14
I	R401_HK	cntrl	1F	2	Col-0	13.06666667
I	R401_HK	cntrl	1A	1	Col-0	11.44
I	R401_HK	cntrl	1A	3	Col-0	16.62
I	R401_HK	cntrl	1B	1	Col-0	12.56
I	R401_HK	cntrl	1B	3	Col-0	4.9
I	R401_HK	cntrl	1C	1	Col-0	4.333333333
I	R401_HK	cntrl	1C	3	Col-0	12.58
I	R401_HK	cntrl	1D	1	Col-0	20.14
I	R401_HK	cntrl	1D	3	Col-0	7.88
I	R401_HK	cntrl	1E	1	Col-0	11.96
I	R401_HK	cntrl	1E	3	Col-0	21.22
I	R401_HK	cntrl	1F	1	Col-0	4.366666667
I	R401_HK	cntrl	1F	3	Col-0	25.22
I	R401_HK	drought	3B	2	Col-0	1.5
I	R401_HK	drought	3C	2	Col-0	0.3
I	R401_HK	drought	3E	2	Col-0	1.6
I	R401_HK	drought	8A	1	Col-0	7.55
I	R401_HK	drought	8A	3	Col-0	7.35
I	R401_HK	drought	8B	1	Col-0	0.98
I	R401_HK	drought	8B	3	Col-0	10.4
I	R401_HK	drought	8C	1	Col-0	0.433333333
I	R401_HK	drought	8C	3	Col-0	20.1
I	R401_HK	drought	8D	1	Col-0	10.64
I	R401_HK	drought	8D	3	Col-0	1.15
I	R401_HK	drought	8E	1	Col-0	9.94
I	R401_HK	drought	8E	3	Col-0	37.2
I	R401_HK	drought	8F	1	Col-0	7.62
I	R401_HK	drought	8F	3	Col-0	27.34
I	R401_HK	low PAR	2A	2	Col-0	2.5
I	R401_HK	low PAR	2B	2	Col-0	6.06
I	R401_HK	low PAR	2C	2	Col-0	2.45
I	R401_HK	low PAR	2D	2	Col-0	0.933333333
I	R401_HK	low PAR	2E	2	Col-0	2
I	R401_HK	low PAR	2F	2	Col-0	3.36
I	R401_HK	low PAR	5A	1	Col-0	3.3
I	R401_HK	low PAR	5A	3	Col-0	7.233333333
I	R401_HK	low PAR	5B	1	Col-0	4.54
I	R401_HK	low PAR	5B	3	Col-0	12.08
I	R401_HK	low PAR	5C	1	Col-0	3.4
I	R401_HK	low PAR	5C	3	Col-0	4.975
I	R401_HK	low PAR	5D	1	Col-0	3.6
I	R401_HK	low PAR	5D	3	Col-0	4.933333333
I	R401_HK	low PAR	5E	1	Col-0	9.983333333
I	R401_HK	low PAR	5E	3	Col-0	5.46
I	R401_HK	low PAR	5F	1	Col-0	3.783333333
I	R401_HK	low PAR	5F	3	Col-0	1.16
I	R401_LP	drought	6B	2	Col-0	1.95
I	R401_LP	drought	6C	2	Col-0	2.3
I	R401_LP	drought	6D	2	Col-0	3
I	R401_LP	drought	6F	2	Col-0	2.55
I	R401_LP	drought	10A	1	Col-0	10.275
I	R401_LP	drought	10A	3	Col-0	34.675
I	R401_LP	drought	10B	1	Col-0	1.433333333
I	R401_LP	drought	10B	3	Col-0	22.7
I	R401_LP	drought	10C	1	Col-0	8.55
I	R401_LP	drought	10C	3	Col-0	24.06666667
I	R401_LP	drought	10D	1	Col-0	14.4
I	R401_LP	drought	10D	3	Col-0	4
I	R401_LP	drought	10E	1	Col-0	0.85
I	R401_LP	drought	10E	3	Col-0	39.8
I	R401_LP	drought	10F	1	Col-0	17.75
I	R401_LP	drought	10F	3	Col-0	43.7
I	R401_LP	low PAR	4A	2	Col-0	3.75
I	R401_LP	low PAR	4B	2	Col-0	3.12
I	R401_LP	low PAR	4C	2	Col-0	2.025
I	R401_LP	low PAR	4D	2	Col-0	1.95
I	R401_LP	low PAR	4E	2	Col-0	2.166666667
I	R401_LP	low PAR	4F	2	Col-0	3
I	R401_LP	low PAR	7A	1	Col-0	5.78
I	R401_LP	low PAR	7A	3	Col-0	7.475
I	R401_LP	low PAR	7B	1	Col-0	3.48
I	R401_LP	low PAR	7B	3	Col-0	8.96
I	R401_LP	low PAR	7C	1	Col-0	3.366666667
I	R401_LP	low PAR	7C	3	Col-0	2.475
I	R401_LP	low PAR	7D	1	Col-0	3.966666667
I	R401_LP	low PAR	7D	3	Col-0	6.4
I	R401_LP	low PAR	7E	1	Col-0	4.325
I	R401_LP	low PAR	7E	3	Col-0	10.725
I	R401_LP	low PAR	7F	1	Col-0	2.02
I	R401_LP	low PAR	7F	3	Col-0	4.8
I	R401_WT	cntrl	7A	2	Col-0	12.65
I	R401_WT	cntrl	7B	2	Col-0	9.5
I	R401_WT	cntrl	7C	2	Col-0	7.38
I	R401_WT	cntrl	7E	2	Col-0	3.85
I	R401_WT	cntrl	7F	2	Col-0	16.93333333
I	R401_WT	cntrl	2A	1	Col-0	18.4
I	R401_WT	cntrl	2A	3	Col-0	9.4
I	R401_WT	cntrl	2B	1	Col-0	5.68
I	R401_WT	cntrl	2B	3	Col-0	20.58
I	R401_WT	cntrl	2C	1	Col-0	12.83333333
I	R401_WT	cntrl	2C	3	Col-0	27.975
