Experiment	Rep 	Treatment	Bacterium	Plant 	Label	Compartment 	FM	Dilution_factor 	0	1	2	3	4	5
II	1	cntrl	R107_WT	Col-0	7A	Root	3.6	7	378	62	7	1	no	no
II	1	cntrl	R107_WT	Col-0	7A	Shoot	8.5	7	148	14	6	2	no	no
II	1	cntrl	R107_WT	Col-0	7B	Root	2.4	7	443	72	6	no	no	no
II	1	cntrl	R107_WT	Col-0	7B	Shoot	5.2	7	59	7	1	1	no	no
II	1	cntrl	R107_WT	Col-0	7C	Root	6.9	7	x	182	45	17	2	1
II	1	cntrl	R107_WT	Col-0	7C	Shoot	7.4	7	x	x	131	33	2	1
II	1	cntrl	R107_WT	Col-0	7D	Root	1.5	7	454	43	14	no	no	no
II	1	cntrl	R107_WT	Col-0	7D	Shoot	4.9	7	98	9	2	no	no	no
II	1	cntrl	R107_WT	Col-0	7E	Root	3.5	7	x	x	158	41	13	2
II	1	cntrl	R107_WT	Col-0	7E	Shoot	2.2	7	x	96	21	no	1	no
II	1	cntrl	R107_WT	Col-0	7F	Root	5.8	7	x	231	86	26	7	no
II	1	cntrl	R107_WT	Col-0	7F	Shoot	9.2	7	x	254	104	20	1	no
II	1	cntrl	R131_WT	Col-0	4A	Root	3.3	7	x	159	20	5	no	no
II	1	cntrl	R131_WT	Col-0	4A	Shoot	25	7	x	x	x	221	78	24
II	1	cntrl	R131_WT	Col-0	4B	Root	6.1	7	x	x	125	26	9	2
II	1	cntrl	R131_WT	Col-0	4B	Shoot	24.7	7	x	x	x	235	80	43
II	1	cntrl	R131_WT	Col-0	4C	Root	7.4	7	x	148	37	4	no	no
II	1	cntrl	R131_WT	Col-0	4C	Shoot	25.5	7	x	x	x	306	107	40
II	1	cntrl	R131_WT	Col-0	4D	Root	2.7	7	x	119	15	5	no	no
II	1	cntrl	R131_WT	Col-0	4D	Shoot	8.7	7	x	x	x	139	49	21
II	1	cntrl	R131_WT	Col-0	4E	Root	3	7	x	x	143	26	2	no
II	1	cntrl	R131_WT	Col-0	4E	Shoot	11.9	7	x	x	x	72	18	4
II	1	cntrl	R131_WT	Col-0	4F	Root	4.7	7	x	x	131	39	12	6
II	1	cntrl	R131_WT	Col-0	4F	Shoot	4	7	x	x	84	7	3	2
II	1	cntrl	R131_WT	rbohD	10A	Root	0	7	x	x	x	x	x	x
II	1	cntrl	R131_WT	rbohD	10A	Shoot	0	7	x	x	x	x	x	x
II	1	cntrl	R131_WT	rbohD	10B	Root	0.6	7	238	73	14	3	no	no
II	1	cntrl	R131_WT	rbohD	10B	Shoot	2.8	7	x	x	202	52	9	1
II	1	cntrl	R131_WT	rbohD	10C	Root	0	7	x	x	x	x	x	x
II	1	cntrl	R131_WT	rbohD	10C	Shoot	0	7	x	x	x	x	x	x
II	1	cntrl	R131_WT	rbohD	10D	Root	0	7	x	x	x	x	x	x
II	1	cntrl	R131_WT	rbohD	10D	Shoot	0	7	x	x	x	x	x	x
II	1	cntrl	R131_WT	rbohD	10E	Root	0	7	x	x	x	x	x	x
II	1	cntrl	R131_WT	rbohD	10E	Shoot	0	7	x	x	x	x	x	x
II	1	cntrl	R131_WT	rbohD	10F	Root	0	7	x	x	x	x	x	x
II	1	cntrl	R131_WT	rbohD	10F	Shoot	0	7	x	x	x	x	x	x
II	1	cntrl	R401_WT	Col-0	6A	Root	1.6	7	x	x	20	4	1	1
II	1	cntrl	R401_WT	Col-0	6A	Shoot	5.7	7	x	96	21	2	1	no
II	1	cntrl	R401_WT	Col-0	6B	Root	4.1	7	x	x	32	2	1	no
II	1	cntrl	R401_WT	Col-0	6B	Shoot	68.3	7	x	x	x	x	56	17
II	1	cntrl	R401_WT	Col-0	6C	Root	1.9	7	x	x	58	19	no	no
II	1	cntrl	R401_WT	Col-0	6C	Shoot	16.3	7	x	x	x	61	18	6
II	1	cntrl	R401_WT	Col-0	6D	Root	3.5	7	x	x	x	x	43	8
II	1	cntrl	R401_WT	Col-0	6D	Shoot	19.5	7	x	x	x	43	19	2
II	1	cntrl	R401_WT	Col-0	6E	Root	3.4	7	x	x	x	31	5	1
II	1	cntrl	R401_WT	Col-0	6E	Shoot	6.2	7	x	98	20	2	3	no
II	1	cntrl	R401_WT	Col-0	6F	Root	5.6	7	x	83	18	6	no	1
II	1	cntrl	R401_WT	Col-0	6F	Shoot	46.4	7	x	x	x	x	90	33
II	1	cntrl	R401_WT	rbohD	12A	Root	1.3	7	x	x	x	155	64	30
II	1	cntrl	R401_WT	rbohD	12A	Shoot	7.6	7	x	x	x	88	21	8
II	1	cntrl	R401_WT	rbohD	12B	Root	2.5	7	177	34	4	no	no	no
II	1	cntrl	R401_WT	rbohD	12B	Shoot	3	7	179	38	11	no	no	no
II	1	cntrl	R401_WT	rbohD	12C	Root	0.9	7	4	no	no	no	no	no
II	1	cntrl	R401_WT	rbohD	12C	Shoot	8.1	7	x	x	x	95	32	15
