chrom	start	end	strand	name	product	KO	description																
contig_1	4378431	4379579	fwd	R401_flye_gene_3760	acrA	K03585	membrane fusion protein%2C multidrug efflux system																
contig_1	1247147	1248895	fwd	R401_flye_gene_1105	cheBR	K13924	two-component system%2C chemotaxis family%2C CheB/CheR fusion protein [EC:2.1.1.80 3.1.1.61]																
contig_1	2864496	2865866	rev	R401_flye_gene_2437	ectB	K00836	diaminobutyrate-2-oxoglutarate transaminase [EC:2.6.1.76]																
contig_1	4387918	4389561	rev	R401_flye_gene_3768	groEL	K04077	chaperonin GroEL																
contig_1	1248841	1249611	rev	R401_flye_gene_1106	ABC.PA.S	K02030	polar amino acid transport system substrate-binding protein																
contig_1	2863729	2864340	rev	R401_flye_gene_2436	lpxO	K12979	beta-hydroxylase [EC:1.14.11.-]																
contig_1	4386905	4387705	fwd	R401_flye_gene_3767	eptA	K03760	lipid A ethanolaminephosphotransferase [EC:2.7.8.43]																
contig_1	1246368	1246493	rev	R401_flye_gene_1103	hypothetical protein	NA	NA																
contig_1	2863460	2863675	fwd	R401_flye_gene_2435	hypothetical protein	NA	NA																
contig_1	4385968	4386651	rev	R401_flye_gene_3766	cusR	K07665	two-component system%2C OmpR family%2C copper resistance phosphate regulon response regulator CusR																
contig_1	1246493	1246807	rev	R401_flye_gene_1104	rghR	K22299	HTH-type transcriptional regulator%2C competence development regulator																
contig_1	2862873	2862989	fwd	R401_flye_gene_2434	hypothetical protein	NA	NA																
contig_1	4384701	4385978	rev	R401_flye_gene_3765	tctE	K07649	two-component system%2C OmpR family%2C sensor histidine kinase TctE [EC:2.7.13.3]																
contig_1	1243980	1244828	rev	R401_flye_gene_1101	hypothetical protein	NA	NA																
contig_1	2861503	2862729	fwd	R401_flye_gene_2433	pcaD	K01055	3-oxoadipate enol-lactonase [EC:3.1.1.24]																
contig_1	4383906	4384574	rev	R401_flye_gene_3764	bioC	K02169	malonyl-CoA O-methyltransferase [EC:2.1.1.197]																
contig_1	1245759	1246412	fwd	R401_flye_gene_1102	hypothetical protein	NA	NA																
contig_1	2860507	2861442	fwd	R401_flye_gene_2432	cmaB	K15650	non-haem Fe2 %2C alpha-ketoglutarate-dependent halogenase																
contig_1	4383191	4383901	rev	R401_flye_gene_3763	hypothetical protein	NA	NA																
contig_1	2858642	2860489	fwd	R401_flye_gene_2431	syrB1	K16126	Syringomycin synthetase protein SyrB1																
contig_1	4382961	4383188	rev	R401_flye_gene_3762	hypothetical protein	NA	NA																
contig_1	1242397	1243557	fwd	R401_flye_gene_1100	hypothetical protein	NA	NA																
contig_1	2858069	2858623	rev	R401_flye_gene_2430	hypothetical protein	NA	NA																
contig_1	4379593	4382619	fwd	R401_flye_gene_3761	acrB	K18138	multidrug efflux pump																
contig_1	2856715	2857776	rev	R401_flye_gene_2429	hypothetical protein	NA	NA																
contig_1	2854983	2856680	rev	R401_flye_gene_2428	syrD	K06161	putative syringomycin transport system ATP-binding/permease protein																
contig_1	4377178	4378275	fwd	R401_flye_gene_3759	K09947	K09947	uncharacterized protein																
contig_1	2825555	2854585	rev	R401_flye_gene_2427	syrE	K16125	syringomycin synthetase protein SyrE																
contig_1	4376111	4377175	fwd	R401_flye_gene_3758	K07338	K07338	uncharacterized protein																
contig_1	2812383	2825558	rev	R401_flye_gene_2426	ofaB	K15659	arthrofactin-type cyclic lipopeptide synthetase B																
contig_1	4374655	4376082	fwd	R401_flye_gene_3757	hypothetical protein	NA	NA																
contig_1	2781121	2812053	rev	R401_flye_gene_2425	syrE	K16125	syringomycin synthetase protein SyrE																
contig_1	4373011	4374351	fwd	R401_flye_gene_3756	cpxA	K07640	two-component system%2C OmpR family%2C sensor histidine kinase CpxA [EC:2.7.13.3]																
contig_1	2779891	2781042	rev	R401_flye_gene_2424	macA	K13888	membrane fusion protein%2C macrolide-specific efflux system																
contig_1	4372508	4372945	fwd	R401_flye_gene_3755	cpxP	K06006	periplasmic protein CpxP/Spy																
contig_1	2777927	2779888	rev	R401_flye_gene_2423	macB	K05685	macrolide transport system ATP-binding/permease protein [EC:3.6.3.-]																
